Date,Well,Well_Type,WaterRate,CasingHeadPressure,TubingHeadPressure,PumpSpeed,Torque,GasRate
10-01-2015,Well 10,Pre-perf,192,51,38,63,235,2
11-01-2015,Well 10,Pre-perf,308,43,31,67,235,37
12-01-2015,Well 10,Pre-perf,308,41,31,67,239,59
13-01-2015,Well 10,Pre-perf,309.09,40.53,29.9,67.04,238.86,59.69
14-01-2015,Well 10,Pre-perf,308.18,40.46,29.84,67.06,236.16,56.57
15-01-2015,Well 10,Pre-perf,308.18,40.46,29.84,67.06,236.16,56.57
16-01-2015,Well 10,Pre-perf,306.29,40.25,29.69,67.03,236.27,51.8
17-01-2015,Well 10,Pre-perf,306.36,40.24,29.67,67.02,235.41,50.32
18-01-2015,Well 10,Pre-perf,306.14,40.42,29.81,67.04,236.8,54.3
19-01-2015,Well 10,Pre-perf,306,41,30,67,242,63
20-01-2015,Well 10,Pre-perf,304.19,40.49,29.85,67.05,253.8,73.13
21-01-2015,Well 10,Pre-perf,301.13,40.51,29.85,67.04,255.88,84.02
22-01-2015,Well 10,Pre-perf,298.78,40.43,29.8,67.06,265.49,99.79
23-01-2015,Well 10,Pre-perf,297.07,40.43,29.78,67.07,273.24,112.97
24-01-2015,Well 10,Pre-perf,296.38,40.31,29.7,67.07,275.6,129.74
25-01-2015,Well 10,Pre-perf,294.02,40.35,29.72,67.05,277.81,150.71
26-01-2015,Well 10,Pre-perf,296.13,41.14,30.29,67.05,273.95,151.82
27-01-2015,Well 10,Pre-perf,293.11,41.37,30.45,67.08,280.13,164.34
28-01-2015,Well 10,Pre-perf,289.38,41.25,30.34,67.06,284.06,169.46
29-01-2015,Well 10,Pre-perf,288.95,41.26,30.36,67.05,287.72,171.09
30-01-2015,Well 10,Pre-perf,288.95,41.37,30.43,67.07,287,171.09
31-01-2015,Well 10,Pre-perf,289.69,42.2,31.04,67.04,288.25,175.26
01-02-2015,Well 10,Pre-perf,288.91,43.84,32.24,67.05,290.99,180.1
02-02-2015,Well 10,Pre-perf,288.11,43.82,32.22,67.06,295.45,183.93
03-02-2015,Well 10,Pre-perf,288,44,32,67,297,184
04-02-2015,Well 10,Pre-perf,287.77,41.32,30.41,67.07,297.72,182.79
05-02-2015,Well 10,Pre-perf,298,41,30,85,304,193
06-02-2015,Well 10,Pre-perf,355.12,42.17,31.1,84.23,332.14,238.82
07-02-2015,Well 10,Pre-perf,355.03,42.24,31.14,84.25,328.43,232.29
08-02-2015,Well 10,Pre-perf,357.72,43.47,32.05,84.25,321.38,223.66
09-02-2015,Well 10,Pre-perf,355.5,44.98,33.16,84.23,327.37,232.4
10-02-2015,Well 10,Pre-perf,352.16,48.62,35.82,84.21,332.85,242.29
11-02-2015,Well 10,Pre-perf,348.14,47.76,35.16,84.23,338.69,251.26
12-02-2015,Well 10,Pre-perf,349,47,35,84,340,257
13-02-2015,Well 10,Pre-perf,345.82,47.4,34.86,84.22,342.78,260.07
